pic,sound,c1,c2,c3,c4,answerNum,answer,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,EmpAnswer.keys,EmpAnswer.rt,date,frameRate,expName,session,participant
eyes21.png,heart60_2.wav,embarassed ,fantasizing,confused,panicked ,None,fantasizing,60',0,36,36,36,,,2,10.58788896,3,3.732969046,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes22.png,silence.wav,preoccupied,grateful,insisting,implorign,None,preoccupied,silence',0,37,37,37,,,1,16.68222117,3,2.51552105,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes23.png,heart120_1.wav,contented,apologetic,defiant,curious,None,defiant,120',0,38,38,38,,,3,17.2166791,3,4.669291019,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Silence,2.076923077,,,,,,
1,1,eyes1.png,heart120_1.wav,,,,,,,,,,,,,120 bpm,2.642857143,,,,,,
3,3,eyes3.png,silence.wav,,,,,,,,,,,,,60 bpm,2.666666667,,,,,,
3,3,eyes5.png,heart120_1.wav,,,,,,,,,,,,,All Heart Beats,2.653846154,,,,,,
2,2,eyes6.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes7.png,silence.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes10.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes15.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,None,eyes17.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes18.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
4,4,eyes20.png,silence.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes7.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes17.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes5.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes10.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
4,4,eyes20.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes6.png,silence.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes18.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes1.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes3.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,2,eyes15.png,silence.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes1.png,silence.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes3.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes5.png,silence.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes6.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes7.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes10.png,silence.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes15.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes17.png,silence.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes18.png,silence.wav,,,,,,,,,,,,,,,,,,,,
4,4,eyes20.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes21.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes22.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes23.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes21.png,silence.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes22.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
3,None,eyes23.png,silence.wav,,,,,,,,,,,,,,,,,,,,
2,2,eyes21.png,heart60_2.wav,,,,,,,,,,,,,,,,,,,,
1,1,eyes22.png,silence.wav,,,,,,,,,,,,,,,,,,,,
3,3,eyes23.png,heart120_1.wav,,,,,,,,,,,,,,,,,,,,
