Sound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
,,,,,,space,1.17223381996,,,2018_Oct_25_1539,60.354039859,HeartBeat1,001,,
heart60.wav,60,0,0,0,1,,,,,2018_Oct_25_1539,60.354039859,HeartBeat1,001,,
heart120.wav,120,0,1,1,0,,,,,2018_Oct_25_1539,60.354039859,HeartBeat1,001,,
heart120.wav,120,1,0,2,0,,,,,2018_Oct_25_1539,60.354039859,HeartBeat1,001,,
heart60.wav,60,1,1,3,1,,,,,2018_Oct_25_1539,60.354039859,HeartBeat1,001,,
,,,,,,,,space,1.58322906494,2018_Oct_25_1539,60.354039859,HeartBeat1,001,,
