pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,rating.response,rating.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,0.8956097240006784,,,,,,001,2018_Dec_12_1549,HeartBeat3,60.48065671253271,
blank.png,heart120_1.wav,playful,comforting,irritated,bored,1,playful,0,0,0,0,,,3,19.84146190699539,3,1.983,,001,2018_Dec_12_1549,HeartBeat3,60.48065671253271,
