pic,sound,c1,c2,c3,c4,answerNum,answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer.keys,Answer.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,1.321332830004394,,,,001,2018_Nov_14_0102,HeartBeat2,58.464115756552815,
eyes1.png,heart120.wav,playful,comforting,irritated,bored,1,playful,0,0,0,0,,,1,13.640307098990888,,001,2018_Nov_14_0102,HeartBeat2,58.464115756552815,
eyes3.png,heart60_1.wav,joking,flustered,desire,convinced,3,desire,0,1,1,1,,,3,2.6709815289941616,,001,2018_Nov_14_0102,HeartBeat2,58.464115756552815,
