pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,rating.response,rating.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,0.6138564190041507,,,,,,001,2018_Dec_12_1417,HeartBeat3,59.73794837863522,
blank.png,heart120_1.wav,decisive ,anticipating,threatening,shy,2,anticipating,0,0,0,12,,,3,3.2962860250045196,3,5.155,,001,2018_Dec_12_1417,HeartBeat3,59.73794837863522,
,,,,,,,,,,,,,,3,21.811102225001378,4,1.58,,,,,,
