trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pic,sound,c1,c2,c3,c4,answerNum,answer,marker,intro.keys,intro.rt,Answer1.keys,rating.response,rating.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,,space,1.1089776779990643,,,,,001,2018_Dec_11_2257,HeartBeat3,59.3929904518762,
,,,,,,,,,,,,,,,None,3,3.402,,,,,,
