trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pic,sound,c1,c2,c3,c4,answerNum,answer,intro.keys,intro.rt,Answer1.keys,rating.response,rating.rt,Answer1.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,0.45660899100039387,,,,,,001,2018_Dec_11_2322,HeartBeat3,59.926809469466946,
,,,,,,,,,,,,,,3,4,1.284,0.5029185009989305,,,,,,
