trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pic,sound,c1,c2,c3,c4,answerNum,answer,marker,intro.keys,intro.rt,Answer.keys,Answer.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,,space,1.0982262830002583,,,,001,2018_Nov_16_1517,HeartBeat2_2,59.659543508714535,
,,,,,,,,,,,,,,,1,1.8234784050000599,,,,,,
