pic,sound,c1,c2,c3,c4,answerNum,answer,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,EmpAnswer.keys,EmpAnswer.rt,EndKey.keys,EndKey.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,,space,5.092233021001448,,,,,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes1.png,heart120_1.wav,playful,comforting,irritated,bored,1,playful,120,0,0,0,0,,,3,2.1021501859941054,1,1.8635829019985977,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes3.png,silence.wav,joking,flustered,desire,convinced,3,desire,0,0,1,1,1,,,3,4.436656652003876,4,1.9842841440040502,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes5.png,heart120_1.wav,irritated,sarcastic,worried,friendly,3,worried,120,0,2,2,2,,,None,,4,1.7181014620000497,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes6.png,heart60_2.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,60,0,3,3,3,,,3,14.068161697003234,5,3.183279726006731,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes7.png,silence.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,0,0,4,4,4,,,3,2.20370453200303,4,8.215977966996434,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes10.png,heart120_1.wav,cautious,insisting,bored,aghast,1,cautious,120,0,5,5,5,,,3,1.8587847710005008,4,1.0365276889933739,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes15.png,heart120_1.wav,contemplative,flustered,encouraging,amused,1,contemplative,120,0,6,6,6,,,2,10.30227615700278,3,1.9206394779976108,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes17.png,heart60_2.wav,doubtful,affectionate,playful,aghast,1,doubtful,60,0,7,7,7,,,3,1.3953337370039662,4,4.985587263996422,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes18.png,heart60_2.wav,amused,decisive,aghast,bored,2,decisive,60,0,8,8,8,,,3,1.4621026940003503,2,1.0824348009991809,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes20.png,silence.wav,dominant,horrified,guilty,friendly,4,friendly,0,0,9,9,9,,,4,18.557577585001127,2,2.868649689000449,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes7.png,heart60_2.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,60,0,10,10,10,,,None,,5,1.417781798998476,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes17.png,heart120_1.wav,doubtful,affectionate,playful,aghast,1,doubtful,120,0,11,11,11,,,None,,5,1.7001341249997495,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes5.png,heart60_2.wav,irritated,sarcastic,worried,friendly,3,worried,60,0,12,12,12,,,3,11.23672083800193,4,1.5844341989941313,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes10.png,heart60_2.wav,cautious,insisting,bored,aghast,1,cautious,60,0,13,13,13,,,3,11.993877973000053,2,1.2208464279974578,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes20.png,heart60_2.wav,dominant,horrified,guilty,friendly,4,friendly,60,0,14,14,14,,,4,4.470494821005559,4,1.938971658993978,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes6.png,silence.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,0,0,15,15,15,,,3,3.5582085699934396,4,1.679430168995168,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes18.png,heart120_1.wav,amused,decisive,aghast,bored,2,decisive,120,0,16,16,16,,,4,4.379995437004254,2,2.749530130000494,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes1.png,heart60_2.wav,playful,comforting,irritated,bored,1,playful,60,0,17,17,17,,,None,,4,1.5500325760003761,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes3.png,heart120_1.wav,joking,flustered,desire,convinced,3,desire,120,0,18,18,18,,,None,,4,1.6319643549941247,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes15.png,silence.wav,contemplative,flustered,encouraging,amused,1,contemplative,0,0,19,19,19,,,3,2.5374863970064325,3,1.584379952000745,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes1.png,silence.wav,playful,comforting,irritated,bored,1,playful,0,0,20,20,20,,,4,1.9715365769952768,4,1.567678002997127,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
eyes3.png,heart60_2.wav,joking,flustered,desire,convinced,3,desire,60,0,21,21,21,,,2,1.4710853270007647,4,3.2012604210030986,,,,001,2018_Nov_19_1051,HeartBeat2_2,59.968072638956585,
