trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pic,sound,c1,c2,c3,c4,answerNum,answer,marker,intro.keys,intro.rt,Answer1.keys,Answer1.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,,space,1.6463099440006772,,,,001,2018_Nov_19_1012,HeartBeat2_2,59.469750458876966,
,,,,,,,,,,,,,,,4,19.21895247100474,,,,,,
