trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pic,sound,c1,c2,c3,c4,answerNum,answer,intro.keys,intro.rt,Answer1.keys,rating.response,rating.rt,Answer1.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,0.8990104999975301,,,,,,001,2018_Dec_11_2314,HeartBeat3,60.11432144822302,
,,,,,,,,,,,,,,2,3,1.033,0.4257029979999061,,,,,,
