Sound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
,,,,,,space,1.95590400696,,,2018_Oct_25_1537,59.9973965821,HeartBeat1,001,,
heart60.wav,60,0,0,0,1,,,,,2018_Oct_25_1537,59.9973965821,HeartBeat1,001,,
heart120.wav,120,0,1,1,0,,,,,2018_Oct_25_1537,59.9973965821,HeartBeat1,001,,
heart60.wav,60,1,0,2,1,,,,,2018_Oct_25_1537,59.9973965821,HeartBeat1,001,,
heart120.wav,120,1,1,3,0,,,,,2018_Oct_25_1537,59.9973965821,HeartBeat1,001,,
,,,,,,,,space,1.39351582527,2018_Oct_25_1537,59.9973965821,HeartBeat1,001,,
