pic,sound,c1,c2,c3,c4,answerNum,answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer.keys,Answer.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,0.5091494969965424,,,,001,2018_Nov_14_0021,HeartBeat2,59.70992286222342,
eyes1.png,heart120.wav,playful,comforting,irritated,bored,1,playful,0,0,0,0,,,2,10.78328872199927,,001,2018_Nov_14_0021,HeartBeat2,59.70992286222342,
