trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pic,sound,c1,c2,c3,c4,answerNum,answer,marker,intro.keys,intro.rt,Answer1.keys,rating.response,rating.rt,Answer1.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,,space,0.4573779970014584,,,,,,001,2018_Dec_11_2302,HeartBeat3,60.098620272325554,
,,,,,,,,,,,,,,,None,2,1.855,0.6353904400020838,,,,,,
