pic,sound,c1,c2,c3,c4,answerNum,answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer.keys,Answer.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,space,0.37472170700493734,,,],001,2018_Nov_14_0022,HeartBeat2,60.00342943515602,
eyes1.png,heart120.wav,playful,comforting,irritated,bored,1,playful,0,0,0,0,,,3,68.53920190899225,],001,2018_Nov_14_0022,HeartBeat2,60.00342943515602,
