pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,intro.keys,intro.rt,Answer1.keys,IsCorrect,Answer1.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,0.77113199234,,,,,,2018_Dec_12_2309,60.0359559825,HeartBeat3,001,,
blank.png,heart120_1.wav,cautious,insisting,bored,aghast,1,cautious,0,0,0,9,,,3,False,1.33523583412,1,3.016,2018_Dec_12_2309,60.0359559825,HeartBeat3,001,,
blank.png,heart120_1.wav,annoyed,hostile,horrified,preoccupied,4,preoccupied,0,1,1,8,,,4,False,2.2832159996,5,3.943,2018_Dec_12_2309,60.0359559825,HeartBeat3,001,,
blank.png,heart120_1.wav,grateful,flirtatious,hostile,disapointed,2,flirtatious,0,2,2,29,,,2,False,2.91937112808,5,1.847,2018_Dec_12_2309,60.0359559825,HeartBeat3,001,,
