pic,sound,c1,c2,c3,c4,answerNum,answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,0.653290987015,,,,,2018_Dec_13_0030,59.904679339,HeartBeat3,001,,
eyes36.png,120bpm,ashamed,nervous,suspicious,indecisive,3,suspicious,0,0,0,35,,,1,4.53115987778,2,1.349,2018_Dec_13_0030,59.904679339,HeartBeat3,001,,
