intro.keys,intro.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
space,0.922134876251,,,2018_Dec_13_0029,59.9822954936,HeartBeat3,001,,
,,space,1.88608694077,2018_Dec_13_0029,59.9822954936,HeartBeat3,001,,
