pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,marker,intro.keys,intro.rt,Answer1.keys,IsCorrect,Answer1.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,space,0.520750999451,,,,,,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,doubtful,affectionate,playful,aghast,1,doubtful,0,0,0,16,,,,,,,,1,False,0.632205963135,2,1.184,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,cautious,insisting,bored,aghast,1,cautious,0,1,1,9,,,,,,,,1,False,0.431183099747,2,0.613,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,0,2,2,5,,,,,,,,1,False,0.153584957123,2,0.508,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,embarassed ,guilty,fantasizing,concerned,4,concerned,0,3,3,32,,,,,,,,1,False,0.281507968903,2,0.462,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,interested,joking,affectionate,contented,1,interested,0,4,4,27,,,,,,,,1,False,0.467566013336,2,0.581,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,pensive,irritated,excited,hostile,1,pensive,0,5,5,23,,,,,,,,1,False,0.334645032883,2,0.496,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,panicked,incredulous,despondent,interested,4,interested,0,6,6,24,,,,,,,,1,False,0.298830986023,2,0.598,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,joking,cautious,arrogant,reassuring,2,cautious,0,7,7,26,,,,,,,,1,True,0.313966989517,2,0.515,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
blank.png,heart120_1.wav,terrified,amused,regretful,flirtatious,3,regretful,0,8,8,10,,,,,,,,1,True,0.297863006592,2,0.529,2018_Dec_13_0008,60.7474846078,HeartBeat3,001,,
