pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,intro.keys,intro.rt,Answer1.keys,IsCorrect,Answer1.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,2.88409399986,,,,,,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,irritated,dissapointed,depressed,accusing,4,accusing,0,0,0,13,,,3,False,2.78429818153,4,1.499,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,serious,ashemed,bewildered,alarmed,1,serious,0,1,1,31,,,3,False,1.66760587692,4,1.046,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,embarassed ,guilty,fantasizing,concerned,4,concerned,0,2,2,32,,,3,True,1.03461790085,4,1.765,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,aghast,baffled,distrustful,terrified,3,distrustful,0,3,3,33,,,3,True,5.71717905998,4,0.976,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,interested,joking,affectionate,contented,1,interested,0,4,4,27,,,3,False,0.537003993988,4,4.379,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,alarmed,shy,hostile,anxious,3,hostile,0,5,5,25,,,3,False,1.06948113441,4,1.413,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,preoccupied,grateful,insisting,implorign,1,preoccupied,0,6,6,21,,,3,False,2.83440995216,4,0.846,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,irritated,thoughtful,encouraging,sympathetic,2,thoughtful,0,7,7,15,,,3,False,0.835456848145,4,0.747,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,impatient,aghast,irritated,reflective,4,reflective,0,8,8,28,,,3,True,0.369158983231,4,1.364,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,ashamed,nervous,suspicious,indecisive,3,suspicious,0,9,9,35,,,2,False,1.37005615234,3,1.595,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
blank.png,heart120_1.wav,contemplative,flustered,encouraging,amused,1,contemplative,0,10,10,14,,,2,True,1.96818804741,2,1.03,2018_Dec_12_2319,59.774997791,HeartBeat3,001,,
